'CAR_REG_NUM';'ORDER_ID';'CLIENT_PASS';'RENTED_AT';'RETURNED_AT';'REVENUE'
'PEFRVAJXQN';4508;'5628434739';'25.10.23 13:36:43';'27.10.23 01:41:10';1219,878007638888888888888888888888888891
'JTPWNEX6NA';4509;'2051154297';'25.10.23 16:11:27';'26.10.23 22:52:57';1316,365583333333333333333333333333333329
'XTWKDWIOYS';4510;'6440288173';'25.10.23 17:59:27';'01.11.23 14:29:57';13102,3347534722222222222222222222222222
'CEN248R1KF';4511;'1738598583';'25.10.23 21:43:12';'29.10.23 06:21:44';7939,629988888888888888888888888888888883
'B2J3ID7WIW';4512;'2161162904';'26.10.23 00:02:50';'01.11.23 01:28:42';8865,662322222222222222222222222222222223
'2S57OLA03Y';4513;'7901136300';'26.10.23 01:15:21';'29.10.23 02:01:02';2893,477898148148148148148148148148148151
'5KMHAO3EL5';4514;'8041187895';'26.10.23 02:54:55';'01.11.23 06:41:23';18262,1505625
'UGNLKSX2N9';4515;'3008101075';'26.10.23 03:39:42';'02.11.23 17:02:14';13669,2175981481481481481481481481481482
'C7SJN6DPK2';4516;'5943253499';'26.10.23 05:25:25';'30.10.23 10:17:34';7344,872428472222222222222222222222222232
'26SHL8JTK8';4517;'2593304943';'26.10.23 10:11:11';'01.11.23 09:40:14';7170,74079930555555555555555555555555555
'AQ0PQ2DBUO';4517;'2593304943';'26.10.23 10:11:11';'01.11.23 09:40:14';16190,3348711805555555555555555555555555
'9640XOEI93';4518;'5101582109';'26.10.23 12:45:03';'02.11.23 12:01:46';14199,0964070601851851851851851851851852
'BOZ56GTDLR';4519;'9690628228';'26.10.23 13:08:43';'31.10.23 00:11:10';9125,810846180555555555555555555555555551
'QZAA1V0520';4520;'2732293253';'26.10.23 15:13:44';'02.11.23 06:47:17';15021,7642288194444444444444444444444444
'XOHQKBLE1O';4521;'1368514808';'26.10.23 15:36:25';'03.11.23 05:30:25';19842,6372916666666666666666666666666667
'9E0XO1CD3C';4522;'2778480879';'26.10.23 15:46:41';'31.10.23 22:56:27';4252,376273379629629629629629629629629634
'CONZKRWM9F';4522;'2778480879';'26.10.23 15:46:41';'01.11.23 22:56:27';13305,6626224537037037037037037037037037
'DJQ5UJMJAF';4523;'2148375822';'26.10.23 17:34:08';'31.10.23 07:56:43';6729,786401041666666666666666666666666661
'V5SW80UEXC';4524;'7846818259';'26.10.23 18:39:26';'30.10.23 04:55:06';9259,92762500000000000000000000000000001
'41M9WECI3N';4525;'5217740412';'26.10.23 19:38:08';'29.10.23 21:32:42';3569,672188657407407407407407407407407413
'GQE85X2HNR';4526;'3885537011';'27.10.23 00:16:00';'01.11.23 23:14:20';5287,053206018518518518518518518518518522
'TU7NA1K2VC';4527;'8843163468';'27.10.23 00:56:21';'02.11.23 07:07:31';15777,7393252314814814814814814814814815
'GCGMKJZO1V';4528;'5671279028';'27.10.23 01:16:03';'31.10.23 07:27:35';10300,3372986111111111111111111111111111
'AX5HNZZBCY';4529;'5401346885';'27.10.23 03:12:22';'28.10.23 05:47:00';2583,959356712962962962962962962962962941
'WTAAPUTANR';4529;'5401346885';'27.10.23 03:12:22';'28.10.23 05:47:00';2043,301139814814814814814814814814814798
'WZ36IWB3P5';4530;'8487687028';'27.10.23 05:44:19';'30.10.23 01:50:17';6681,520242129629629629629629629629629625
'DDZW79R7R7';4531;'4006276480';'27.10.23 07:32:24';'30.10.23 19:32:36';3892,049440277777777777777777777777777779
'1CKXD99MZO';4532;'1152069998';'27.10.23 10:08:41';'05.11.23 07:17:58';14910,4392628472222222222222222222222222
'5GWT9JZDLW';4532;'1152069998';'27.10.23 10:08:41';'05.11.23 07:17:58';22350,5160275462962962962962962962962963
'JTPWNEX6NA';4532;'1152069998';'27.10.23 10:08:41';'05.11.23 07:17:58';9142,206036111111111111111111111111111112
'GMN3JSMBYN';4533;'6828420021';'27.10.23 12:39:06';'03.11.23 22:04:26';13517,873037037037037037037037037037037
'6GVM51DP35';4534;'7791719572';'27.10.23 15:03:03';'02.11.23 18:24:16';16758,2806023148148148148148148148148148
'W7VN003WB9';4535;'1221052903';'27.10.23 17:43:22';'02.11.23 03:12:09';7309,993517592592592592592592592592592585
'GCGMKJZO1V';4536;'8487687028';'27.10.23 22:41:17';'02.11.23 16:09:30';13856,1448107638888888888888888888888889
'JNBRPW7X8F';4536;'8487687028';'27.10.23 22:41:17';'02.11.23 16:09:30';11857,0405754629629629629629629629629629
'IMQC9WDZFA';4537;'7675919362';'28.10.23 01:16:29';'31.10.23 07:48:39';8001,160829861111111111111111111111111104
'D3B88KL4Z9';4538;'2051154297';'28.10.23 02:09:27';'30.10.23 19:05:57';4723,856833333333333333333333333333333337
'VW1PG20WOG';4539;'2777081145';'28.10.23 02:37:53';'01.11.23 11:31:47';5365,59345763888888888888888888888888889
'YAX9FVDJCF';4540;'7170394449';'28.10.23 03:30:27';'31.10.23 16:12:19';6839,486718518518518518518518518518518511
'9E0XO1CD3C';4541;'7423278445';'28.10.23 04:06:19';'30.10.23 18:07:20';2073,872462615740740740740740740740740731
'YUW6U6UH1F';4541;'7423278445';'28.10.23 04:06:19';'30.10.23 18:07:20';2607,683311921296296296296296296296296284
'4YYFVI2R9B';4542;'4908697342';'28.10.23 06:12:41';'01.11.23 01:53:02';3798,52643125000000000000000000000000001
'COLWNVEA2G';4543;'2319736127';'28.10.23 10:19:19';'31.10.23 00:21:39';5771,271037037037037037037037037037037029
'QACEM7U8ZP';4544;'9534244544';'28.10.23 13:19:13';'03.11.23 07:10:20';16984,8529516203703703703703703703703704
'5HT6B4682R';4545;'2698738321';'28.10.23 23:39:52';'31.10.23 11:52:41';4899,581536111111111111111111111111111105
'IXZ2GTP78X';4546;'2293028260';'29.10.23 04:15:34';'01.11.23 06:31:06';3063,179166666666666666666666666666666666
'YUW6U6UH1F';4547;'2101861846';'29.10.23 05:45:19';'01.11.23 19:46:54';3617,230431134259259259259259259259259249
'CONZKRWM9F';4548;'8199243700';'29.10.23 10:23:13';'02.11.23 12:05:01';8599,464134722222222222222222222222222234
'HALLI015C6';4548;'8199243700';'29.10.23 10:23:13';'02.11.23 12:05:01';10618,3657513888888888888888888888888889
'5GWT9JZDLW';4549;'9701535882';'29.10.23 10:47:43';'31.10.23 19:23:06';5933,762481712962962962962962962962962956
'9ZBNZ3N6CK';4550;'1827969981';'29.10.23 17:29:56';'04.11.23 15:23:11';9110,241656250000000000000000000000000005
'FUWMKFQZJZ';4550;'1827969981';'29.10.23 17:29:56';'04.11.23 15:23:11';15674,2530052083333333333333333333333333
'QZAA1V0520';4550;'1827969981';'29.10.23 17:29:56';'04.11.23 15:23:11';13358,0578072916666666666666666666666667
'7EHB0IL2PQ';4551;'9854001674';'29.10.23 18:22:10';'01.11.23 07:44:47';3198,710607175925925925925925925925925932
'IMQC9WDZFA';4552;'2015120198';'29.10.23 20:37:26';'05.11.23 12:53:43';16328,2487607638888888888888888888888889
'VZOB05VTF8';4552;'2015120198';'29.10.23 20:37:26';'05.11.23 12:53:43';14374,473750462962962962962962962962963
'QELYVZVYT0';4553;'1115322853';'30.10.23 05:31:03';'03.11.23 10:23:11';8422,300049999999999999999999999999999999
'2A9957I3CK';4554;'8706691795';'30.10.23 06:29:11';'04.11.23 12:00:39';10407,911612962962962962962962962962963
'DWRCTHKUWK';4555;'8571109137';'30.10.23 09:18:27';'31.10.23 16:46:06';3494,027041319444444444444444444444444456
'54X1XLB8VT';4556;'3826269565';'30.10.23 12:16:50';'05.11.23 17:22:22';10344,6395953703703703703703703703703704
'9M0BGVZT23';4557;'7431416574';'30.10.23 21:23:34';'04.11.23 11:13:41';6978,704726504629629629629629629629629634
'QC4F332LNY';4557;'7431416574';'30.10.23 21:23:34';'04.11.23 11:13:41';13607,2179756944444444444444444444444445
'UD0I1N7XVC';4558;'8177238241';'31.10.23 02:02:42';'03.11.23 23:48:48';7763,783579166666666666666666666666666649
